,column_i,column_j,column_k,pax_number
607,CD7,CD1,CD8,0.0
608,CD7,CD1,CD9,0.0
609,CD7,CD1,CD10,0.0
610,CD7,CD2,CD1,0.0
611,CD7,CD2,CD2,0.0
612,CD7,CD2,CD3,0.0
613,CD7,CD2,CD4,0.0
614,CD7,CD2,CD5,0.0
615,CD7,CD2,CD6,0.0
616,CD7,CD2,CD7,0.0
617,CD7,CD2,CD8,0.0
618,CD7,CD2,CD9,0.0
619,CD7,CD2,CD10,0.0
620,CD7,CD3,CD1,0.0
621,CD7,CD3,CD2,0.0
622,CD7,CD3,CD3,0.0
623,CD7,CD3,CD4,0.0
624,CD7,CD3,CD5,0.0
625,CD7,CD3,CD6,0.0
626,CD7,CD3,CD7,354.0
627,CD7,CD3,CD8,0.0
628,CD7,CD3,CD9,0.0
629,CD7,CD3,CD10,0.0
630,CD7,CD4,CD1,0.0
631,CD7,CD4,CD2,0.0
632,CD7,CD4,CD3,0.0
633,CD7,CD4,CD4,0.0
634,CD7,CD4,CD5,0.0
635,CD7,CD4,CD6,0.0
636,CD7,CD4,CD7,0.0
637,CD7,CD4,CD8,0.0
638,CD7,CD4,CD9,0.0
639,CD7,CD4,CD10,0.0
640,CD7,CD5,CD1,0.0
641,CD7,CD5,CD2,0.0
642,CD7,CD5,CD3,0.0
643,CD7,CD5,CD4,0.0
644,CD7,CD5,CD5,0.0
645,CD7,CD5,CD6,0.0
646,CD7,CD5,CD7,0.0
647,CD7,CD5,CD8,0.0
648,CD7,CD5,CD9,0.0
649,CD7,CD5,CD10,0.0
650,CD7,CD6,CD1,0.0
651,CD7,CD6,CD2,0.0
652,CD7,CD6,CD3,0.0
653,CD7,CD6,CD4,0.0
654,CD7,CD6,CD5,0.0
655,CD7,CD6,CD6,0.0
656,CD7,CD6,CD7,0.0
657,CD7,CD6,CD8,0.0
658,CD7,CD6,CD9,0.0
659,CD7,CD6,CD10,0.0
660,CD7,CD7,CD1,0.0
661,CD7,CD7,CD2,0.0
662,CD7,CD7,CD3,0.0
663,CD7,CD7,CD4,0.0
664,CD7,CD7,CD5,0.0
665,CD7,CD7,CD6,0.0
666,CD7,CD7,CD7,
667,CD7,CD7,CD8,0.0
668,CD7,CD7,CD9,0.0
669,CD7,CD7,CD10,0.0
670,CD7,CD8,CD1,0.0
671,CD7,CD8,CD2,0.0
672,CD7,CD8,CD3,0.0
673,CD7,CD8,CD4,0.0
674,CD7,CD8,CD5,0.0
675,CD7,CD8,CD6,0.0
676,CD7,CD8,CD7,0.0
677,CD7,CD8,CD8,0.0
678,CD7,CD8,CD9,0.0
679,CD7,CD8,CD10,0.0
680,CD7,CD9,CD1,0.0
681,CD7,CD9,CD2,0.0
682,CD7,CD9,CD3,0.0
683,CD7,CD9,CD4,0.0
684,CD7,CD9,CD5,0.0
685,CD7,CD9,CD6,0.0
686,CD7,CD9,CD7,0.0
687,CD7,CD9,CD8,0.0
688,CD7,CD9,CD9,0.0
689,CD7,CD9,CD10,0.0
690,CD7,CD10,CD1,0.0
691,CD7,CD10,CD2,0.0
692,CD7,CD10,CD3,0.0
693,CD7,CD10,CD4,0.0
694,CD7,CD10,CD5,0.0
695,CD7,CD10,CD6,0.0
696,CD7,CD10,CD7,0.0
697,CD7,CD10,CD8,0.0
698,CD7,CD10,CD9,0.0
699,CD7,CD10,CD10,0.0
700,CD8,CD1,CD1,0.0
701,CD8,CD1,CD2,0.0
702,CD8,CD1,CD3,0.0
703,CD8,CD1,CD4,0.0
704,CD8,CD1,CD5,0.0
705,CD8,CD1,CD6,0.0
706,CD8,CD1,CD7,0.0
707,CD8,CD1,CD8,0.0
708,CD8,CD1,CD9,0.0
709,CD8,CD1,CD10,0.0
710,CD8,CD2,CD1,0.0
711,CD8,CD2,CD2,0.0
712,CD8,CD2,CD3,0.0
713,CD8,CD2,CD4,0.0
714,CD8,CD2,CD5,0.0
715,CD8,CD2,CD6,0.0
716,CD8,CD2,CD7,0.0
717,CD8,CD2,CD8,0.0
718,CD8,CD2,CD9,0.0
719,CD8,CD2,CD10,0.0
720,CD8,CD3,CD1,0.0
721,CD8,CD3,CD2,0.0
722,CD8,CD3,CD3,204.0
723,CD8,CD3,CD4,0.0
724,CD8,CD3,CD5,0.0
725,CD8,CD3,CD6,0.0
726,CD8,CD3,CD7,0.0
727,CD8,CD3,CD8,0.0
728,CD8,CD3,CD9,0.0
729,CD8,CD3,CD10,0.0
730,CD8,CD4,CD1,0.0
731,CD8,CD4,CD2,0.0
732,CD8,CD4,CD3,0.0
733,CD8,CD4,CD4,0.0
734,CD8,CD4,CD5,0.0
735,CD8,CD4,CD6,0.0
736,CD8,CD4,CD7,0.0
737,CD8,CD4,CD8,0.0
738,CD8,CD4,CD9,0.0
739,CD8,CD4,CD10,0.0
740,CD8,CD5,CD1,0.0
741,CD8,CD5,CD2,0.0
742,CD8,CD5,CD3,0.0
743,CD8,CD5,CD4,0.0
744,CD8,CD5,CD5,0.0
745,CD8,CD5,CD6,0.0
746,CD8,CD5,CD7,0.0
747,CD8,CD5,CD8,0.0
748,CD8,CD5,CD9,0.0
749,CD8,CD5,CD10,0.0
750,CD8,CD6,CD1,0.0
751,CD8,CD6,CD2,0.0
752,CD8,CD6,CD3,0.0
753,CD8,CD6,CD4,0.0
754,CD8,CD6,CD5,0.0
755,CD8,CD6,CD6,0.0
756,CD8,CD6,CD7,0.0
757,CD8,CD6,CD8,0.0
758,CD8,CD6,CD9,0.0
759,CD8,CD6,CD10,0.0
760,CD8,CD7,CD1,0.0
761,CD8,CD7,CD2,0.0
762,CD8,CD7,CD3,0.0
763,CD8,CD7,CD4,0.0
764,CD8,CD7,CD5,0.0
765,CD8,CD7,CD6,0.0
766,CD8,CD7,CD7,0.0
767,CD8,CD7,CD8,0.0
768,CD8,CD7,CD9,0.0
769,CD8,CD7,CD10,0.0
770,CD8,CD8,CD1,0.0
771,CD8,CD8,CD2,0.0
772,CD8,CD8,CD3,32.0
